resolution_code,legislature,year,full_text
P4_1996/0017,EP4,1996,"51996IP0047
 Resolution on conditions in Chinese orphanages

 Official Journal C 032 , 05/02/1996 P. 0096



  B4-0047, 0052, 0063, 0073, 0084, 0087 and 0103/96

  Resolution on conditions in Chinese orphanages

  The European Parliament,

  - having regard to its previous resolutions concerning human rights abuses in China;

  - having regard to the 1989 UN Convention on the Rights of the Child, signed by China in 1991;

  - having regard to the International Code of Medical Ethics;

  - having regard to the Human Rights Watch Asia report 'Death by Default: A Policy of Fatal Neglect in
  China's State Orphanages¨ of 7 January 1996;

  A. shocked by revelations about conditions in Chinese orphanages, exposed by the Human Rights Watch
  Asia report 'Death by Default¨ and by the Channel Four television programme 'Return to the Dying Rooms¨,
  both produced in January 1996, which show that many children have been deliberately deprived of
  nourishment and treatment and have consequently died,

  B. stressing that evidence of these appalling conditions derives either from eye-witnesses, or from written
  protests by medical staff, lawyers, and members of the People's Congress of Shanghai, or from official
  documents such as the Ministry of Civil Affairs 1990 'Civil Affairs Statistical Yearbook¨, which gives a death
  rate for 1989 of 57.9 per cent of children in orphanages,

  C. whereas these sources seem to point to a deliberate policy to minimise China's population of abandoned
  children through intentional starvation and neglect,

  D. whereas medical records and testimony obtained in respect to the Shanghai Children's Welfare Institute
  are reported to show that deaths there were in many cases deliberate and cruel,

  E. pointing out that there is a high proportion of girls and disabled children among the victims; recalling the
  practice in China since ancient times of abandoning infants; aware of the rigorous application of the 'one
  child policy¨ in China which has sometimes led to abortions being forced on mothers,

  F. concerned by official figures which reveal that only 20,000 of China's abandoned children are cared for in
  orphanages - only a fraction of the 100,000 orphans acknowledged by the Chinese authorities, which is
  itself a surprisingly low figure given official admissions that a large number of children are being abandoned
  by their parents,

  1. Urges the European Union to raise the issue of orphanages with the Chinese authorities during the
  EU/China Human Rights Dialogue to be held in Beijing on 29 January 1996;

  2. Calls upon the Chinese authorities to open all orphanages for immediate inspection by foreign and
  domestic observers, including UNICEF and child welfare NGOs;

  3. Requests the European Commission urgently to complete the investigation it announced to the
  Parliament on 14 November 1995 on orphanages in China, and to report its findings within three months;

  4. Expresses its horror at the sight of children, whom officials consider unwanted, being put to death by
  starvation and neglect;

  5. Stresses that the treatment of such children sharply contradicts the Chinese government's claim that civil
  liberties are being suppressed in order to ensure the economic and material well-being of the Chinese
  people;

  6. Calls on the Chinese authorities to adopt strict rules outlawing abuses against children in public
  institutions, such as chaining children up;

  7. Appeals to the Chinese authorities to expose any institutions not upholding human rights in the
  treatment of children, and calls on them to ensure that the persons responsible for perpetrating or
  concealing abuses against orphans in Shanghai, in particular, should be brought to justice, and that a full
  report be made on efforts to obstruct the holding of an official enquiry into this case;

  8. Condemns the arrest of the brother of Dr Zhang Shuyun, a key contributor to the Human Rights Watch

Report, and charges which could lead to the death penalty;

9. Asks the Commission to consider the implementation of projects financed or co-financed by the
European Union in the light of progress made by China in improving human rights, especially in respect of
the issues raised in this resolution;

10. Instructs its Delegation for Relations with China to raise the issue of orphanages with the Chinese
authorities on the occasion of its forthcoming visit to China;

11. Instructs its President to forward this resolution to the Council, the Commission, the Parliaments of the
Member States, the government and National People's Congress of China, the People's Congress of
Shanghai, and UNICEF and Human Rights Watch Asia.
"
P4_1996/0073,EP4,1996,"11. China/Taiwan

                 B4-0145, 0166, 0192, 0223 and 0232/96


                      Resolution on the threat of military action by the People’s Republic of China against Taiwan



                 The European Parliament,

                 A.     having regard to the military build-up along the Chinese coastline facing Taiwan,

                 B.     having regard to the Beijing declaration of the coastline facing Taiwan as a ‘war zone’,

                 C.     whereas Taiwan has undergone a fundamental transition towards becoming a democratic state and
                        will hold its first democratic presidential elections in March 1996,

                 D.     worried about rumours, apparently spread deliberately, that China plans to launch missiles at Taiwan
                        if President Lee Teng-hui is elected,

                 E.     believing that the action by the People’s Republic of China is an attempt to interfere in the democratic
                        process in Taiwan,

                 F.     recalling the common foreign and security provisions of the Treaty on European Union, in particular
                        the preservation of peace, strengthening international security, the promotion of international
                        cooperation and the development of democracy and human rights world-wide,


                 1.      Calls on the government of the People’s Republic of China not to carry out any aggressive acts;

                 2.    Urges the Council to exercise its influence over the government of the People’s Republic of China to
                 prevent such acts of aggression against Taiwan and to persuade them to refrain from all intimidation aimed
                 at interfering with the elections;




NoC65/168             [ EN ]                      Official Journal of the European Communities                                     4.3.96
Thursday, 15 February 1996

            3.          Requests the Council to obtain such an assurance from the government of the People’s Republic of
            China;

            4.          Instructs its President    to forward this resolution to the Commission,        the Council,   and the
            governments of the People’s Republic of China and Taiwan.
"
P4_1994/0075,EP4,1994,"(d) B4-0255/94


   Resolution on the ill-treatment of and medical concern about Qin Yongmin, a Chinese prisoner
                                      of conscience in Wuhan     City, China


   The European        Parliament,

   A.   deeply concerned about the continuing violation of human rights in the People’s Republic of
        China and, in particular, the continuing illegal detention of political prisoners, some of them
        for several years,

   B.   concerned about the ill-treatment and medical condition of 41-year-old democracy-wall
        activist Qin Yongmin who is a former worker in the Wuhan Steel Mill,

   C.   disturbed that Qin Yongmin was taken into custody on 14 November 1993 after taking part
        in a meeting in Beijing to discuss a ‘Peace Charter’ and was then sentenced in January 1994
        to two years of ‘re-education through labour' for ‘seriously disturbing social order’,

   D.   concerned that Qin Yongmin was previously arrested in November 1979, in April 1981 and
        in August 1993 and then held in custody — sometimes for several years — for his dissident
        activities,

   E.   particularly appalled that on 8 June 1994 and, again a few days later, Qin Yongmin was
        reportedly very badly beaten by prison warders and a fellow inmate, on the second occasion
        until he was left unconscious,




No C 323/168                              Official Journal of the European Communities                                    21.11.94

Thursday, 27 October 1994

             F.   very concerned that he was not allowed to see a doctor until the end of July 1994 and that the
                  very serious beatings, particularly on his penis and testicles, might have left them with
                  permanent injuries,


             1.       Expresses concern at reports that Qin Yongmin has twice been severely beaten in detention;

             2.       Urges that he is given immediate medical treatment for any injuries he has sustained;

             3.       Calls for an investigation into the allegation of ill-treatment and for those responsible to be
             brought to justice;

             4.       Seeks assurances    that Qin   Yongmin   will not be subject to any more       ill-treatment   in
             detention;

             5.    Callsonthe Chinese authorities to release Qin Yongmin immediately and unconditionally
             as a prisoner of conscience arbitrarily detained for the peaceful exercise of his right to freedom of
             expression and opinion;

             6. — Instructs its President to forward this resolution to the Presidency of the CFSP, the United
             Nations Commission on Human             Rights and the Premier of the People's Republic of China.
"
P4_1996/0080,EP4,1996,"51996IP0168
 Resolution on the recent earthquake in China

 Official Journal C 065 , 04/03/1996 P. 0171



  B4-0168/96

  Resolution on the recent earthquake in China

  The European Parliament,

  A. having regard to the earthquake measuring 7.1 on the Richter scale which struck on 3 February 1996 in
  the north of Yunnan province in China, centering on four districts in Ligang, a remote and very inaccessible
  area situated at very high altitude,

  B. whereas there have been 250 deaths, 14 000 people injured, 4 000 seriously, and 410 000 houses and
  buildings damaged or destroyed, leaving many without shelter, as a result of the earthquake and its
  aftershocks,

  The European Parliament,

  1. Extends its sympathies to all the victims and to the families of those who lost their lives as a result of the
  recent earthquake;

  2. Calls on the Commission to grant emergency humanitarian aid to the victims of the earthquake, in
  collaboration with the Chinese central and provincial authorities, through the setting up of an emergency
  local relief programme;

  3. Instructs its President to forward this resolution to the Commission, the Council, the governments of the
  Member States and the Government of China.
"
P4_1994/0143,EP4,1994,"(d) B4-0341, 0405 and 0417/94


                                     Resolution on eugenics in China


The European Parliament,

A.   whereas, on 27 October        1994, the Parliament of the People's Republic of China enacted a
     law euphemistically named the “Health Care Law               for Mother and Baby"" whose aim is to
     ‘improve the quality of the population” by reducing the birthrate of physically and mentally
     handicapped persons,

B.   stressing that the bill contains an aberrant proposal to prohibit marriages where one or both
     partners is suffering or has suffered from mental or physical problems or infectious diseases,

C.   noting, however, that the same law has the merit of prohibiting measures to determine the sex
     of unborn children, save on medical grounds, in an effort to reduce the number of abortions
     of female foetuses,

D.   whereas Europe’s own history with state-sponsored eugenics programmes leaves no doubt
     that this is a dangerous violation of fundamental human              rights and the dignity of the
     individual,



1.    Condemns the Chinese authorities” attempt to control the private life of handicapped
persons, which is clearly discriminatory and designed to isolate an already disadvantaged
category of individuals;

2.    Calls on the representative of the European Union to protest against this policy and raise it
as an issue at the forthcoming World Women's Conference in Peking;

3.   Urges the Commission and the Council to inform the Chinese Government of the concern
Which this law is causing in the European Union and its Member States;

4.    Instructs    its President   to forward   this resolution   to the Commission,   the   Council,   the
Government of China, the President of the National Congress of the People of China and the
representative of the European Union at the forthcoming World Women's Conference in Peking.
"
P4_1997/0174,EP4,1997,"(b) B4-0289, 0296, 0311, 0323 and 0320/97


             Resolution on the human rights situation in Eastern Turkestan (Region of Xinjiang)


     The European Parliament,

     —    having regard 10 its previous resolutions on human rights violations in China,


     A.   deeply concerned by the increasing instability in eastern Turkestan (Region of Xinjiang),

     B.   alarmed at the arrests carried out by the Chinese authorities on 20 March 1997 in eastern Turkestan,
          which is predominantly Islamic, following ethnic unrest,

     C.   alarmed also by the execution of many Uighurs by the Chinese authorities which triggered riots
          during which hundreds of other people were arrested,

     D.   denouncing the use of violence, such as bombs, by whichever side,

     E.   noting that in Eastern Turkestan (the region of Xinjiang) freedom of religion is severely repressed and
          that last year over 100 Koranic schools were closed down and 180 Muslim clerics, professors and
          students arrested,

     F.   having regard to the concerns expressed        by the United    Nations   Committee   regarding   racial
          discrimination against the Uighur people,

     G.   noting that ever since the massacre in Tiananmen Square in 1989, the EU has traditionally backed
          resolutions on China in the UN Human Rights Commission, and deploring the lack of a common EU
          policy on China in Geneva this year,


     1.    Condemns the policy pursued by the People’s Republic of China which is designed to eradicate the
     culture of the Uighur people and suppress the practice of their Islamic faith, a policy which includes the
     indiscriminate use of the death penalty, population transfers and population control through a birth policy
     aimed at changing the ethnic composition of this region;

     2.    Calls on the Chinese authorities to release forthwith all prisoners who were arrested for allegedly
     taking part in the riots but have not been charged with any crime corresponding to international standards
     and 1o guarantee the right to a public hearing, the right to defence and the right to be represented by a
     lawyer, as provided for in the modified Chinese Code of Criminal Procedure in force since I January 1997;

     3.    Calls on the Chinese Government to start a political dialogue with all parties involved in the eastern
     Turkestan (Region of Xinjiang) issue, in order to find a politically negotiated settlement of the various
     demands of the Uighur people:




NoC132228        [ EN ]                   Official Journal of the European Communities_                                   28.4.97

Thursday, 10 April 1997

             4.    Urges the Chinese Government to allow journalists and human rights’ monitors access to Eastern
             Turkestan (the Xinjiang region);

             5.    Calls on the Commission and the Council to bring pressure to bear on the authorities of the People’s
             Republic of China to ensure that respect for human rights and fundamental rights is guaranteed both on
             Chinese territory and in the annexed territories;

             6.     Deplores the fact that the Council has not yet managed to adopt a common position aimed at
             ensuring the adoption by the UN Human Rights Commission in Geneva of a resolution on the human
             rights situation in China, Tibet, inner Mongolia and Eastern Turkestan (the Xinjiang region) and calls on
             the Member States to support the resolution already tabled;

             7.    Instructs its President to forward this resolution to the Commission, the Council, the governments
             and parliaments of the Member States, the Government of the People’s Republic of China, the
             Secretary-General of the United Nations, the Unrepresented Nations and Peoples Organization, Uighur
             organizations in both Europe and Kazakhstan and the Ambassador of the People’s Republic of China to
             the European Union.
"
P4_1996/0198,EP4,1996,"(a) B4-0514, 0520 and 0525/96


         Resolution on the resolution on China and Tibet submitted to the United Nations Commission on
                                  Human    Rights and the position of the EU countries


         The European Parliament,

         —    having regard to its previous resolutions on the human rights situation in China and Tibet,


         A.   having regard to the 52nd session of the United Nations Commission on Human Rights,




NoC 141212          [EN]                   Official Journal of the European Communities                                    13.5.96
Thursday, 18 April 1996

              B.   whereas the Vienna Declaration and the United Nations Action Plan reaffirm the requirement that all
                   Member States should promote and protect human rights and fundamental freedoms and respect the
                   undertakings given in international conventions,

              C.   whereas the human rights situation in the People’s Republic of China is still very serious, as
                   highlighted in the reports by Amnesty International and Human Rights Watch Asia; whereas the
                   situation in occupied Tibet is growing worse,

              D.   welcoming the decision by the European Union to submit a resolution on human rights violations in
                   the People’s Republic of China and Tibet,


              1.    Calls on the Member States of the European Union to use all the diplomatic means available to them,
              while making a determined effort to gain support from other members of the UN Commission on Human
              Rights, to ensure that a resolution on the human rights situation in China and Tibet is approved by the UN
              Commission on Human Rights and that it takes account of previous resolutions adopted by the European
              Parliament;

              2.    Calls on the Member States of the Union to work in cooperation with the United States of America in
              presenting and supporting the resolution;

              3.    Calls on the Council to inform Parliament and its Committee on Foreign Affairs on the strategy
              followed and the results obtained by the Union at the UN Commission on Human Rights:

              4.   Instructs its President to forward this resolution to the Council, the Commission, the governments of
              the Member States, the member countries of the UN Commission on Human Rights and the Tibetan
              Government in exile.
"
P4_1995/0246,EP4,1995,"(e) B4-0744 and 0838/95


                   Resolution on the organisation by the Chinese Government of the Fourth World Conference on
                                                         Women in Beijing

                    The European Parliament,


                   A. recognising the importance of the UN Fourth Conference on Women to be held in Beijing in
                      September 1995,
                    B.   stressing that the emancipation of women is inseparably linked to the struggle for the
                         promotion and defence of human rights and that economic and political rights are integral to
                         these human rights, and stressing also that women are the driving force behind peace and the
                         future development of mankind,

                   C.    recognising the important role played by NGOs at conferences of this kind, the high
                         qualifications of the NGOs accredited to this Conference and the fact that this important role
                         has been acknowledged by the UN,

                    D.   shocked by reports that Taiwanese and Tibetan women will not be allowed to take part,

                    E. shocked by reports that groups with views which do not coincide with those of the Chinese
                       Government, such as lesbian groups and local Chinese groups, will be excluded,
                    F.   gravely concerned at the reported decision of the Chinese authorities to place the NGO
                         Forum far away from the World Conference, on a site that does not have a meeting place able
                         to hold more than 1 700 people, although 40 000 participants are expected,

                    G.   gravely concerned that telecommunications, hotel, interpretation, translation and transport
                         facilities seem utterly inadequate for a conference of this kind and scale,

                    H.   gravely concerned at reports of strict customs procedures and controls with regard to the
                         import of written and audiovisual materials by participants of both conferences,


                    1.    Calls on the Chinese Government to allow women             from Taiwan and Tibet who are
                    accredited to NGOs to attend the conference;

                    2.    Urges the Chinese Government to guarantee freedom of speech and press and to lift any
                    exclusion of categories of women because of their views, origin or sexual orientation;

                    3.     Urges the Chinese Government to relocate the NGO Forum at a site close enough to the
                    official conference to allow easy communication between the two and to provide the necessary
                    facilities;

                    4.   Calls on the Commission and the Council to use their influence to urge the Chinese
                    Government and the UN Secretary-General to provide, as requested, adequate facilities and
                    democratic procedures for holding this conference;
                    5.    Wams that the exclusion of women because of their views, geographical origin or sexual
                    orientation will confirm the image of the repressive character of the Chinese regime;

                    6.    Points out that if the effectiveness of the conference is reduced by the obstacles placed in the
                    way of NGOs, no further UN conferences should be held in China in the future;

                    7.    Callsonthe Commission and the Council to consider supporting a move of both the official
                    and NGO conferences to a proposed venue in Australia if China fails to respond to the requests;




19.6.95    [EN]                    Official Journal of the European Communities                              NoC 151/281
                                                                                                     Thursday, 18 May 1995

          8.   Instructs its President to forward this resolution to the Commission, the Council, the
          Council of Europe, the governments of the Member States, the Secretary-General of the UN, the
          special advisory group for the UN Secretary-General, and the Government of the People's
          Republic of China.
"
P4_1997/0255,EP4,1997,"11. Discriminatory measures by China against certain EU Member States

        B4-0359/97


             Resolution on discriminatory measures taken by China against certain EU Member States


        The European Parliament,

        —    having regard to its previous resolutions on the human rights situation in China,


        A.   whereas all members of the United Nations (UN) are committed to protecting and promoting human
             rights as stated in the UN Charter, in the Universal Declaration of Human Rights, in the international
             covenants on human rights and other documents,

        B.   whereas the mandate of the UN Human Rights Commission is to look into and discuss matters related
             to the human rights situation around the world,

        C.   whereas China has accepted the 1993 Vienna Declaration on Human Rights,

        D.   whereas the General Affairs Council stated on 4 December 1995 that the basic goals of the EU in its
             relations with China are, inter alia, ‘the promotion of democracy. structures based on the rule of law
             and the respect for human rights’,




NoC167/160           [EN ]                     Official Journal of the European Communities                              2.6.97
Thursday, 15 May 1997

             E.   whereas the ‘China Country Report on Human Rights Practices for 1996’, published by the
                  US Department of State, states: ‘The Government continued to commit widespread and well-
                  documented human rights abuses, in violation of internationally accepted norms, stemming from the
                  authorities intolerance of dissent, fear of unrest, and the absence or inadequacy of laws protecting
                  basic freedoms. The Constitution and laws provide for fundamental human rights, but they are often
                  ignored in practice. Abuses included torture and mistreatment of prisoners, forced confessions and
                  arbitrary and lengthy incommunicado detention. (...). The Government continued severe restrictions
                  on freedom         of speech, the press, assembly, association, religion, privacy and worker rights.
                  (...) In many cases, the judicial system denies criminal defendants basic legal safeguards and due
                  process (...)."",

             F.   regretting that the European Union failed to speak with one voice and present a common resolution on
                  the human rights situation in China during the 53rd session of the UN Commission on Human Rights
                  in April 1997 in Geneva,

             G.   whereas Denmark, supported by Ireland and the Netherlands — the country which currently holds the
                  EU Presidency — tabled a resolution on the human rights situation in China, which other EU Member
                  States did not support;

             H.   whereas China has postponed Danish and Dutch trade missions and has threatened these two States
                  with further retaliatory measures,


             1.   Welcomes and supports the resolution tabled by Denmark, Ireland, the Netherlands and others to
             denounce human rights violations in China;

             2.    Deeply deplores the fact that there was no common EU foreign policy on China in Geneva;

4.   Considers it unacceptable that China has threatened to impose discriminatory trade measures against
the abovementioned EU Member States;

5.   Urges China to refrain from all discriminatory measures against EU Member States;

6.    Calls on the Council and the Commission to lodge an official protest against this discrimination with
the Chinese authorities;

7.    Calls on the Commission, the Council and all Member States to show solidarity with Denmark,
Ireland, the Netherlands and any other countries which may be faced with Chinese ‘retaliating measures';

8.   Instructs its President to forward this resolution to the Council, the Commission, the parliaments of
the Member States and the Government of the People’s Republic of China.
"
P4_1998/0293,EP4,1998,"(f) B4-0496, 0500, 0510 and 0519/98

                       Resolution on the sale of organs of persons sentenced to death in China



         The European Parliament,

         —    having regard to its previous resolutions on China,

         —    having regard to the Annex to United Nations Economic and Social Council Resolution 1984/50 of
              25 May 1994,



         A.   totally appalled by the report by the China Watch organization and the Fresenius company that the
              Chinese People’s Liberation Army is carrying on a flourishing trade in the organs of persons
              sentenced to death,

         B.   whereas these practices constitute a crime and manifestly infringe international conventions on
              respect for and protection of the dignity of condemned prisoners and the inviolability of their person,

         C.   whereas various European companies could be implicated in this trafficking,




1.6.98                                 Official Journal of the European Communities                                       C167/225

                                                                                                              Thursday 14 May 198
         D.   whereas the EU has a duty to respond in the strongest terms to the abuses which have been exposed
              and whereas it must do everything in its power to put a stop to these inhuman practices forthwith,

         E.   reiterating its total opposition to capital punishment and its determination to secure abolition of the
              death penalty in all parts of the world,


         1.    Calls on the Chinese authorities to do their utmost forthwith to stop these inhuman practices;

         2.    Instructs its Delegation for relations with the People’s Republic of China to raise this issue on the
         occasion of the next delegation visit in June 1998;

         3.    Calls on the Council and Commission to take all the steps required to ensure that the United Nations
         immediately sets up an international committee of inquiry with a view to shedding full light on the
         networks being used in China and the rest of the world to traffic in and sell organs removed from persons
         sentenced to death;
         4.     Asks the Commission and the Council to take the necessary initiatives at international level to ban all
         illegal and inhumane trade in human organs;

         5.    Reiterates its total opposition to the death penalty and its determination to persuade the United
         Nations to declare a world-wide moratorium on executions;

         6.   Renews its demand that the authorities of the People’s Republic of China abolish the death penalty as
         soon as possible and calls on them, pending complete and final abolition of the death penalty, to publish
         full details of the executions carried out;

         7.    Instructs its President to forward this resolution to the Council, the Commission, the governments
         and parliaments of the Member States, the authorities of the People’s Republic of China, and the
         Secretary-General of the United Nations.
"
